code,label
A06.1,Amibiase intestinale chronique
A06.2,Colite amibienne non dysentérique
A06.3,Amœbome de l'intestin
A06.4,Abcès amibien du foie
K77.0,Atteintes hépatiques au cours de maladies infectieuses et parasitaires classées ailleurs
A06.5,Abcès amibien du poumon
J17.3,Pneumopathie au cours de maladies parasitaires
J99.8,Troubles respiratoires au cours d'autres maladies classées ailleurs
A06.6,Abcès amibien du cerveau 
G07,Abcès et granulome intracrâniens et intrarachidiens au cours d'affections classées ailleurs
A06.7,Amibiase cutanée
A06.8,Autres localisations d'une infection amibienne
N51.2,Balanite au cours de maladies classées ailleurs
A06.9,"Amibiase, sans précision"
A07.0,Balantidiose
A07.1,Giardiase [lambliase]
A07.2,Cryptosporidiose
A07.3,Infection à Isospora
A07.8,"Autres maladies intestinales précisées, à protozoaires"
A07.9,"Maladie intestinale à protozoaires, sans précision"
A08,Infections virales intestinales et autres infections intestinales précisées
J09,"Grippe, à virus grippal zoonotique ou pandémique identifié"
J10.8,"Grippe avec d''autres manifestations, virus grippal saisonnier identifié"
J11.8,"Grippe avec d''autres manifestations, virus non identifié"
A08.0,Entérite à rotavirus
A08.1,Gastroentéropathie aigüe due à un norovirus
A08.2,Entérite à adénovirus
A08.3,Autres entérites virales
A08.4,"Infections intestinales virales, sans précision"
A08.5,Autres infections intestinales précisées
A09,Autres gastroentérites et colites d'origine infectieuse et non précisée
K52.9,"Gastroentérite et colite non infectieuses, sans précision"
P78.3,Diarrhée non infectieuse du nouveau-né
A09.0,"Gastroentérites et colites d’origine infectieuse, autres et non précisées"
A09.9,Gastroentérite et colite d’origine non précisée
K52.3,Colite non infectieuse indéterminée
A15,"Tuberculose de l''appareil respiratoire, avec confirmation bactériologique et histologique"
A15-A19,Tuberculose
B20.0,Maladie par VIH à l'origine d'une infection mycobactérienne
B90,Séquelles de tuberculose
J65,Pneumoconiose associée à la tuberculose
P37.0,Tuberculose congénitale
A15.0,"Tuberculose pulmonaire, confirmée par examen microscopique de l''expectoration, avec ou sans culture"
A15.1,"Tuberculose pulmonaire, confirmée par culture seulement"
A15.2,"Tuberculose pulmonaire, avec confirmation histologique"
A15.3,"Tuberculose pulmonaire, avec confirmation, moyen non précisé"
A15.4,"Tuberculose des ganglions intrathoraciques, avec confirmation bactériologique et histologique"
A15.7,"Primo-infection tuberculeuse de l''appareil respiratoire, avec confirmation bactériologique et histologique"
A15.5,"Tuberculose du larynx, de la trachée et des bronches, avec confirmation bactériologique et histologique"
A15.6,"Pleurésie tuberculeuse, avec confirmation bactériologique et histologique"
A15.8,"Autres formes de tuberculose de l''appareil respiratoire, avec confirmation bactériologique et histologique"
A15.9,"Tuberculose de l''appareil respiratoire sans précision, avec confirmation bactériologique et histologique"
A16,"Tuberculose de l''appareil respiratoire, sans confirmation bactériologique ou histologique"
A16.0,"Tuberculose pulmonaire, avec examens bactériologique et histologique négatifs"
A16.1,"Tuberculose pulmonaire, sans examen bactériologique et histologique"
A16.2,"Tuberculose pulmonaire, sans mention de confirmation bactériologique ou histologique"
A16.3,"Tuberculose des ganglions intrathoraciques, sans mention de confirmation bactériologique ou histologique"
A16.7,"Primo-infection tuberculeuse de l''appareil respiratoire, sans mention de confirmation bactériologique ou histologique"
A16.4,"Tuberculose du larynx, de la trachée et des bronches, sans mention de confirmation bactériologique ou histologique"
A16.5,"Pleurésie tuberculeuse, sans mention de confirmation bactériologique ou histologique"
A16.8,"Autres formes de tuberculose de l''appareil respiratoire, sans mention de confirmation bactériologique ou histologique"
A16.9,"Tuberculose de l''appareil respiratoire sans précision, sans mention de confirmation bactériologique ou histologique"
A17,Tuberculose du système nerveux
A17.0,Méningite tuberculeuse 
A17.1,Tuberculome méningé 
A17.8,Autres formes de tuberculose du système nerveux
G05.0,"Encéphalite, myélite et encéphalomyélite au cours d''infections bactériennes classées ailleurs"
G63.0,Polynévrite au cours de maladies infectieuses et parasitaires classées ailleurs
A17.9,"Tuberculose du système nerveux, sans précision "
G99.8,Autres affections précisées du système nerveux au cours de maladies classées ailleurs
A18,Tuberculose d'autres organes
A18.0,Tuberculose des os et des articulations
H75.0,Mastoïdite au cours de maladies infectieuses et parasitaires classées ailleurs
M01.1,Arthrite tuberculeuse 
M49.0,Tuberculose vertébrale 
M68.0,Synovite et ténosynovite au cours de maladies bactériennes classées ailleurs
M90.0,Tuberculose osseuse 
A18.1,Tuberculose de l'appareil génito-urinaire
N29.1,Autres affections du rein et de l'uretère au cours de maladies infectieuses et parasitaires classées ailleurs
N33.0,Cystite tuberculeuse 
N74.0,Tuberculose du col de l'utérus 
N74.1,Affection inflammatoire pelvienne tuberculeuse de la femme 
A18.2,Adénopathie tuberculeuse périphérique
K67.3,Péritonite tuberculeuse 
K93.0,"Atteintes tuberculeuses de l''intestin, du péritoine et des ganglions mésentériques "
A18.4,Tuberculose de la peau et du tissu cellulaire souscutané
H03.1,Atteinte de la paupière au cours d'autres maladies infectieuses classées ailleurs
L93,Lupus érythémateux
M32,Lupus érythémateux disséminé
A18.5,Tuberculose de l'œil
H19.0,Sclérite et épisclérite au cours de maladies classées ailleurs
H19.2,Kératite et kératoconjonctivite au cours d'autres maladies infectieuses et parasitaires classées ailleurs
H22.0,Iridocyclite au cours de maladies infectieuses et parasitaires classées ailleurs
H32.0,Affections choriorétiniennes au cours de maladies infectieuses et parasitaires classées ailleurs
A18.6,Tuberculose de l'oreille
H67.0,Otite moyenne au cours de maladies bactériennes classées ailleurs
A18.7,Tuberculose des surrénales 
E35.1,Anomalies de la glande surrénale au cours de maladies classées ailleurs
A18.8,Tuberculose d'autres organes précisés
E35.0,Anomalies de la glande thyroïde au cours de maladies classées ailleurs
I32.0,Péricardite au cours de maladies bactériennes classées ailleurs
I39.8,"Endocardite, valvule non précisée, au cours de maladies classées ailleurs"
I41.0,Myocardite au cours de maladies bactériennes classées ailleurs
I68.1,Artérite cérébrale au cours de maladies infectieuses et parasitaires
K23.0,Œsophagite tuberculeuse 
A19,Tuberculose miliaire
A19.0,"Tuberculose miliaire aigüe, localisation unique et précisée"
A19.1,"Tuberculose miliaire aigüe, sièges multiples"
A19.2,"Tuberculose miliaire aigüe, sans précision"
A19.8,Autres tuberculoses miliaires
A19.9,"Tuberculose miliaire, sans précision"
A20,Peste
A20-A28,Certaines anthropozoonoses  bactériennes
A20.0,Peste bubonique
A20.1,Peste cutanée
A20.2,Peste pulmonaire
A20.3,Peste méningée
A20.7,Peste septicémique
A20.8,Autres formes de peste
A20.9,"Peste, sans précision"
A21,Tularémie
A21.0,Tularémie ulcéroglandulaire
A21.1,Tularémie oculoglandulaire
A21.2,Tularémie pulmonaire
A21.3,Tularémie gastro-intestinale
A21.7,Tularémie généralisée
A21.8,Autres formes de tularémie
A21.9,"Tularémie, sans précision"
A22,Charbon
A22.0,Charbon cutané
A22.1,Charbon pulmonaire
A22.2,Charbon gastro-intestinal
A22.7,Sepsis charbonneux
A22.8,Autres formes de charbon
A22.9,"Charbon, sans précision"
A23,Brucellose
A23.0,Brucellose à Brucella melitensis
A23.1,Brucellose à Brucella abortus
A23.2,Brucellose à Brucella suis
A23.3,Brucellose à Brucella canis
A23.8,Autres brucelloses
A23.9,"Brucellose, sans précision"
A24,Morve et mélioïdose
A24.0,Morve
A24.1,Mélioïdose aigüe et galopante
A24.2,Mélioïdose subaigüe et chronique
A24.3,Autres mélioïdoses
A24.4,"Mélioïdose, sans précision"
A25,Fièvres causées par morsure de rat
A25.0,Spirillose
A25.1,Streptobacillose
A25.9,"Fièvre causée par morsure de rat, sans précision"
A26,Érysipéloïde
A26.0,Érysipéloïde cutanée
A26.7,Sepsis à Erysipelothrix
A26.8,Autres formes d'érysipéloïde
A26.9,"Érysipéloïde, sans précision"
A27,Leptospirose
A27.0,Leptospirose ictérohémorragique
A27.8,Autres formes de leptospirose
A27.9,"Leptospirose, sans précision"
A28,"Autres anthropozoonoses  bactériennes, non classées ailleurs"
A28.0,Pasteurellose
A28.1,Maladie des griffes du chat
A28.8,"Autres anthropozoonoses bactériennes précisées, non classées ailleurs"
A28.9,"Anthropozoonose bactérienne, sans précision"
A30,Lèpre [maladie de Hansen]
A30-A49,Autres maladies bactériennes
B92,Séquelles de lèpre
A30.0,Lèpre indéterminée
A30.1,Lèpre tuberculoïde
A30.2,Lèpre tuberculoïde de type intermédiaire atypique
A30.3,Lèpre de type intermédiaire atypique
A30.4,Lèpre lépromateuse de type intermédiaire atypique
A30.5,Lèpre lépromateuse
A30.8,Autres formes de lèpre
A30.9,"Lèpre, sans précision"
A31,Infections dues à d'autres mycobactéries
A31.0,Infection pulmonaire à Mycobacterium
A31.1,Infection cutanée à Mycobacterium
A31.8,Autres infections à Mycobacterium
A31.9,"Infection à Mycobacterium, sans précision"
P37.2,Listériose du nouveau-né(disséminée)
A32.0,Listériose cutanée
A32.1,Méningite et méningoencéphalite listériennes
A32.7,Sepsis listérien
A32.8,Autres formes de listériose
A32.9,"Listériose, sans précision"
A33,Tétanos du nouveau-né
A34,Tétanos obstétrical
A35,Autres formes de tétanos
A36,Diphtérie
A36.0,Diphtérie pharyngée
A36.1,Diphtérie rhinopharyngée
A36.2,Diphtérie laryngée
A36.3,Diphtérie cutanée
L08.1,Érythrasma
A36.8,Autres formes de diphtérie
H13.1,Conjonctivite au cours de maladies infectieuses et parasitaires classées ailleurs
A36.9,"Diphtérie, sans précision"
A37,Coqueluche
A37.0,Coqueluche à Bordetella pertussis
A37.1,Coqueluche à Bordetella parapertussis
A37.8,Coqueluche due à d'autres espèces de Bordetella
A37.9,"Coqueluche, sans précision"
A38,Scarlatine
J02.0,Pharyngite à streptocoques
A39,Infection à méningocoques
A39.0,Méningite à méningocoques 
A39.1,Syndrome de Waterhouse–Friderichsen 
A39.2,Méningococcémie aigüe
A39.3,Méningococcémie chronique
A39.4,"Méningococcémie, sans précision"
A39.5,Cardite à méningocoques
I52.0,Autres cardiopathies au cours de maladies bactériennes classées ailleurs
A39.8,Autres infections à méningocoques
H48.1,Névrite rétrobulbaire au cours de maladies classées ailleurs
M01.0,Arthrite méningococcique 
M03.0,Arthrite postméningococcique 
A39.9,"Infection méningococcique, sans précision"
A40,Sepsis à streptocoques
O08.0,"Infection de l''appareil génital et des organes pelviens consécutive à un avortement, une grossesse extra-utérine et molaire"
O75.3,Autres infections au cours du travail
O85,Sepsis puerpéral
T80.2,"Infections consécutives à une injection thérapeutique, une perfusion et une transfusion"
T81.4,"Infection après un acte à visée diagnostique et thérapeutique, non classée ailleurs"
T88.0,Infection consécutive à vaccination
A40.0,"Sepsis à streptocoques, groupe A"
A40.1,"Sepsis à streptocoques, groupe B"
A40.2,Sepsis à streptocoques groupe D et entérocoques
A40.3,Sepsis à Streptococcus pneumoniae
A40.8,Autres sepsis à streptocoques
A40.9,"Sepsis à streptocoques, sans précision"
A41,Autres sepsis
A42.7,Sepsis actinomycosique
A48.3,Syndrome du choc toxique
A49.9,"Infection bactérienne, sans précision"
A54.8,Autres infections gonococciques
B00.7,Maladie disséminée due au virus de l'herpès
B37.7,Sepsis à Candida
P36,Infection bactérienne du nouveau-né
A41.0,Sepsis à staphylocoques dorés
A41.1,Sepsis à d'autres staphylocoques précisés
A41.2,Sepsis à staphylocoques non précisés
A41.3,Sepsis à Haemophilus influenzae
A41.4,Sepsis à microorganismes anaérobies
A48.0,Gangrène gazeuse
A41.5,Sepsis à d'autres microorganismes Gram négatif
A41.8,Autres sepsis précisés
A41.9,"Sepsis, sans précision"
A42,Actinomycose
B47.1,Actinomycétome
A42.0,Actinomycose pulmonaire
A42.1,Actinomycose abdominale
A42.2,Actinomycose cervicofaciale
A42.8,Autres formes d'actinomycose
A42.9,"Actinomycose, sans précision"
A43,Nocardiose
A43.0,Nocardiose pulmonaire
A43.1,Nocardiose cutanée
A43.8,Autres formes de nocardiose
A43.9,"Nocardiose, sans précision"
A44,Bartonellose
A44.0,Bartonellose généralisée
A44.1,Bartonellose cutanée et cutanéomuqueuse
A44.8,Autres formes de bartonellose
A44.9,"Bartonellose, sans précision"
A46,Érysipèle
O86.8,Autres infections puerpérales précisées
A48,"Autres maladies bactériennes, non classées ailleurs"
A48.1,Maladie des légionnaires
A48.2,"Maladie des légionnaires, sans signes pulmonaires [fièvre de Pontiac]"
R57.8,Autres chocs
A48.4,Fièvre purpurique du Brésil
A48.8,Autres maladies bactériennes précisées
A49,"Infection bactérienne, siège non précisé"
A69.9,"Infection à spirochètes, sans précision"
A74.9,"Infection à Chlamydia, sans précision"
A79.9,"Rickettsiose, sans précision"
A49.0,"Infection à staphylocoques, siège non précisé"
A49.1,"Infection à streptocoques et entérocoques, siège non précisé"
A49.2,"Infection à Haemophilus influenzae, siège non précisé"
A49.3,"Infection à Mycoplasma, siège non précisé"
A49.8,"Autres infections bactériennes, siège non précisé"
A50,Syphilis congénitale
A50-A64,Infections dont le mode de transmission est essentiellement sexuel
B20-B24,Maladies dues au virus de l'immunodéficience humaine [VIH]
M02.3,Syndrome oculo-urétro-synovial [Fiessinger–Leroy–Reiter]
N34.1,Urétrite non spécifique
A50.0,"Syphilis congénitale précoce, symptomatique"
A50.1,"Syphilis congénitale précoce, latente"
A50.2,"Syphilis congénitale précoce, sans précision"
A50.3,Oculopathie syphilitique congénitale tardive
H58.8,Autres affections précisées de l'œil et de ses annexes au cours de maladies classées ailleurs
A50.5,"Autres formes tardives de syphilis congénitale, symptomatique"
A50.4,Syphilis congénitale nerveuse tardive [neurosyphilis juvénile]
I98.0,Syphilis cardiovasculaire
M03.1,Arthropathie syphilitique postinfectieuse
A50.6,"Syphilis congénitale tardive, latente"
A50.7,"Syphilis congénitale tardive, sans précision"
A50.9,"Syphilis congénitale, sans précision"
A51,Syphilis précoce
A51.0,Syphilis génitale primaire
A51.1,Syphilis anale primaire
A51.2,Syphilis primaire d'autres localisations
A51.3,Syphilis secondaire de la peau et des muqueuses
L99.8,Autres affections précisées de la peau et du tissu cellulaire souscutané au cours de maladies classées ailleurs
A51.4,Autres formes de syphilis secondaire
M63.0,Myosite au cours de maladies bactériennes classées ailleurs
M90.1,Périostite au cours d'autres maladies infectieuses classées ailleurs
N74.2,Affection inflammatoire pelvienne syphilitique de la femme 
A51.5,"Syphilis précoce, latente"
A51.9,"Syphilis précoce, sans précision"
A52,Syphilis tardive
A52.0,Syphilis cardiovasculaire
I39.1,Atteintes de la valvule aortique au cours de maladies classées ailleurs
I39.3,Atteintes de la valvule pulmonaire au cours de maladies classées ailleurs
I79.0,Anévrisme de l'aorte au cours de maladies classées ailleurs
I79.1,Aortite au cours de maladies classées ailleurs
A52.1,Syphilis nerveuse symptomatique
G22,Syndrome parkinsonien au cours de maladies classées ailleurs
H48.0,Atrophie optique au cours de maladies classées ailleurs
H94.0,Névrite acoustique au cours de maladies infectieuses et parasitaires classées ailleurs
M14.6,Arthropathie nerveuse
G98,"Autres affections du système nerveux, non classées ailleurs"
A52.2,Syphilis nerveuse asymptomatique
A52.3,"Syphilis nerveuse, sans précision"
A52.7,Autres formes tardives de syphilis symptomatique
K67.2,Péritonite syphilitique 
M73.1,Bursite syphilitique 
N08.0,Glomérulopathie au cours de maladies infectieuses et parasitaires classées ailleurs
A52.8,"Syphilis tardive, latente"
A52.9,"Syphilis tardive, sans précision"
A53,"Syphilis, autres et sans précision"
A53.0,"Syphilis latente, non précisée précoce ou tardive"
A53.9,"Syphilis, sans précision"
A54,Infection gonococcique
A54.0,"Infection gonococcique de la partie inférieure de l''appareil génito-urinaire, sans abcès périurétral ou des glandes annexes"
A54.1,"Infection gonococcique de la partie inférieure de l''appareil génito-urinaire, avec abcès périurétral et des glandes annexes"
A54.2,Pelvipéritonite gonococcique et autres infections génito-urinaires gonococciques
N51.0,Affections de la prostate au cours de maladies classées ailleurs
N51.1,Affections du testicule et de l'épididyme au cours de maladies classées ailleurs
N74.3,Affection inflammatoire pelvienne gonococcique de la femme 
A54.3,Infection gonococcique de l'œil
A54.4,Infection gonococcique du système ostéoarticulaire et des muscles
M73.0,Bursite gonococcique 
A54.5,Pharyngite gonococcique
A54.6,Infection gonococcique de l'anus et du rectum
K67.1,Péritonite gonococcique 
A54.9,"Infection gonococcique, sans précision"
A55,Lymphogranulomatose vénérienne à Chlamydia
A56,Autres infections à Chlamydia transmises par voie sexuelle
P23.1,Pneumopathie congénitale à Chlamydia
P39.1,Conjonctivite et dacryocystite du nouveau-né
A56.0,Infection à Chlamydia de la partie inférieure de l'appareil génito-urinaire
A56.1,"Infection à Chlamydia, pelvipéritonéale et des autres organes génito-urinaires"
N74.4,"Affection inflammatoire pelvienne à Chlamydia, de la femme "
A56.2,"Infection à Chlamydia de l''appareil génito-urinaire, sans précision"
A56.3,Infection à Chlamydia de l'anus et du rectum
A56.4,Infection à Chlamydia du pharynx
A56.8,"Infection à Chlamydia transmise par voie sexuelle, autres localisations"
A57,Chancre mou
A58,Granulome inguinal
A59,Trichomonase
A59.0,Trichomonase urogénitale
A59.8,Autres localisations de trichomonase
A59.9,"Trichomonase, sans précision"
A60,Infection anogénitale par le virus de l'herpès [Herpes simplex]
A60.0,Infection des organes génitaux et de l'appareil génito-urinaire par le virus de l'herpès
A60.1,"Infection de la marge cutanée de l''anus et du rectum, par le virus de l''herpès"
A60.9,"Infection anogénitale par le virus de l''herpès, sans précision"
A63,"Autres maladies dont le mode de transmission est essentiellement sexuel, non classées ailleurs"
B08.1,Molluscum contagiosum
D26.0,Col de l'utérus
A63.0,Condylomes anogénitaux (vénériens)
A63.00,Condylomes anaux (vénériens)
A63.08,Autres condylomes anogénitaux (vénériens)
A63.8,Autres maladies précisées dont le mode de transmission est essentiellement sexuel
A64,"Maladie sexuellement transmise, sans précision"
A65,Syphilis non vénérienne
A65-A69,Autres maladies à spirochètes
A66,Pian
A66.0,Lésions initiales du pian
A66.1,Papillomes multiples et pian plantaire humide (pian-crabe)
A66.2,Autres lésions cutanées précoces du pian
A66.3,Hyperkératose pianique
A66.4,Gommes et ulcères pianiques
A66.5,Gangosa
A66.6,Lésions ostéoarticulaires pianiques
A66.7,Autres manifestations du pian
A66.8,Pian latent
A66.9,"Pian, sans précision"
A67,Pinta [caraté]
A67.0,Lésions initiales de la pinta
A67.1,Lésions intermédiaires de la pinta
A67.2,Lésions tardives de la pinta
I98.1,Troubles cardiovasculaires au cours d'autres maladies infectieuses et parasitaires classées ailleurs
A67.3,Lésions mixtes de la pinta
A67.9,"Pinta, sans précision"
A68,Fièvres récurrentes [borrélioses]
A69.2,Maladie de Lyme
A68.0,Fièvre récurrente [borréliose] à poux
A68.1,Fièvre récurrente [borréliose] à tiques
A68.9,"Fièvre récurrente [borréliose], sans précision"
A69,Autres infections à spirochètes
A69.0,Stomatite ulcéronécrotique
A69.1,Autres infections dites de Vincent
A69.8,Autres infections à spirochètes précisées
A70,Infection à Chlamydia psittaci
A70-A74,Autres maladies à Chlamydia
A71,Trachome
B94.0,Séquelles du trachome
A71.0,Phase initiale du trachome
A71.1,Phase active du trachome
A71.9,"Trachome, sans précision"
A74,Autres infections à Chlamydia
J16.0,Pneumopathie due à Chlamydia
A74.0,Conjonctivite à Chlamydia 
A74.8,Autres infections à Chlamydia précisées
K67.0,Péritonite à Chlamydia 
A75,Typhus
A75-A79,Rickettsioses
A79.8,Autres types précisés de rickettsiose
A75.0,Typhus épidémique à poux dû à Rickettsia prowazekii
A75.1,Typhus résurgent [maladie de Brill]
A75.2,Typhus à Rickettsia typhi
A75.3,Typhus à Rickettsia tsutsugamushi
A75.9,"Typhus, sans précision"
A77,Fièvre pourprée [rickettsioses à tiques]
A77.0,Fièvre pourprée à Rickettsia rickettsii
A77.1,Fièvre pourprée à Rickettsia conorii
A77.2,Fièvre pourprée due à Rickettsia sibirica
A77.3,Fièvre pourprée due à Rickettsia australis
A77.8,Autres fièvres pourprées
A77.9,"Fièvre pourprée, sans précision"
A78,Fièvre Q
A79,Autres rickettsioses
A79.0,Fièvre des tranchées
A79.1,Rickettsiose varicelliforme due à Rickettsia akari
A80,Poliomyélite aigüe
A80-A89,Infections virales du système nerveux central
B91,Séquelles de poliomyélite
B94.1,Séquelles d'encéphalite virale
A80.0,"Poliomyélite paralytique aigüe, associée au virus vaccinal"
A80.1,"Poliomyélite paralytique aigüe, virus sauvage importé"
A80.2,"Poliomyélite paralytique aigüe, virus sauvage indigène"
A80.3,"Poliomyélites paralytiques aigües, autres et sans précision"
A80.4,Poliomyélite aigüe non paralytique
A80.9,"Poliomyélite aigüe, sans précision"
A81,"Infections atypiques à virus, du système nerveux central"
A81.0,Maladie de Creutzfeldt–Jakob
A81.1,Panencéphalite sclérosante subaigüe
A81.2,Leucoencéphalopathie multifocale progressive
A81.8,"Autres infections atypiques à virus, du système nerveux central"
A81.9,"Infection atypiques à virus, du système nerveux central, sans précision"
A82,Rage
A82.0,Rage sylvatique
A82.1,Rage des rues [rage citadine]
A82.9,"Rage, sans précision"
A83,Encéphalite virale transmise par des moustiques
A92.2,Fièvre équine vénézuélienne
A83.0,Encéphalite japonaise
A83.1,Encéphalite équine occidentale
A83.2,Encéphalite équine orientale
A83.3,Encéphalite de Saint-Louis
A83.4,Encéphalite australienne
A83.5,Encéphalite de Californie
A83.6,Maladie à virus de Rocio
A83.8,Autres encéphalites virales transmises par des moustiques
A83.9,"Encéphalite virale transmise par des moustiques, sans précision"
A84,Encéphalite virale transmise par des tiques
A84.0,Encéphalite de la taïga [encéphalite vernoestivale russe]
A84.1,Encéphalite d'Europe centrale transmise par des tiques
A84.8,Autres encéphalites virales transmises par des tiques
A84.9,"Encéphalite virale transmise par des tiques, sans précision"
A85,"Autres encéphalites virales, non classées ailleurs"
A87.2,Chorioméningite lymphocytaire
B00.4,Encéphalite due au virus de l'herpès 
B02.0,Encéphalite zostérienne 
B05.0,Rougeole compliquée d'une encéphalite 
B26.2,Encéphalite ourlienne 
G93.3,Syndrome de fatigue postvirale
A85.0,Encéphalite à entérovirus 
G05.1,"Encéphalite, myélite et encéphalomyélite au cours d''infections virales classées ailleurs"
A85.1,Encéphalite à adénovirus 
A85.2,"Encéphalite virale transmise par des arthropodes, sans précision"
A85.8,Autres encéphalites virales précisées
A86,"Encéphalite virale, sans précision"
A87,Méningite virale
B00.3,Méningite due au virus de l'herpès 
B02.1,Méningite zostérienne 
B05.1,Rougeole compliquée d'une méningite 
B26.1,Méningite ourlienne 
A87.0,Méningite à entérovirus
G02.0,Méningite au cours d'infections virales classées ailleurs
A87.1,Méningite à adénovirus 
A87.8,Autres méningites virales
A87.9,"Méningite virale, sans précision"
A88,"Autres infections virales du système nerveux central, non classées ailleurs"
A88.0,Fièvre exanthémateuse à entérovirus [exanthème de Boston]
A88.1,Vertige épidémique
A88.8,Autres infections virales précisées du système nerveux central
A89,"Infection virale du système nerveux central, sans précision"
A92,Autres fièvres virales transmises par des moustiques
A92-A99,Fièvres virales transmises par des arthropodes et fièvres virales hémorragiques
B33.1,Maladie de la Ross River
A92.0,Fièvre de chikungunya
A92.1,Fièvre due au virus O'nyong-nyong
A92.3,Infection due au virus West Nile
A92.4,Fièvre de la vallée du Rift
A92.5,Maladie due au virus Zika
P35.4,Maladie congénitale due au virus Zika
A92.8,"Autres fièvres virales précisées, transmises par des moustiques"
A92.9,"Fièvre virale transmise par des moustiques, sans précision"
A93,"Autres fièvres virales transmises par des arthropodes, non classées ailleurs"
A93.0,Fièvre d'Oropouche
A93.1,Fièvre à phlébotome
A93.2,Fièvre à tiques du Colorado
A93.8,"Autres fièvres virales précisées, transmises par des arthropodes"
A94,"Fièvre virale transmise par des arthropodes, sans précision"
A95,Fièvre jaune
A95.0,Fièvre jaune sylvatique
A95.1,Fièvre jaune citadine
A95.9,"Fièvre jaune, sans précision"
A96,Fièvre hémorragique à arénavirus
A96.0,Fièvre hémorragique de Junin
A96.1,Fièvre hémorragique de Machupo
A96.2,Fièvre de Lassa
A96.8,Autres fièvres hémorragiques à arénavirus
A96.9,"Fièvre hémorragique à arénavirus, sans précision"
A97,Dengue
A97.0,Dengue sans signe d'alerte
A97.1,Dengue avec signes d'alerte
A97.2,Dengue sévère
A97.9,"Dengue, sans précision"
A98,"Autres fièvres hémorragiques virales, non classées ailleurs"
A98.0,Fièvre hémorragique de Crimée-Congo
A98.1,Fièvre hémorragique d'Omsk
A98.2,Maladie de la forêt de Kyasanur
A98.3,Maladie de Marburg
A98.4,Maladie à virus Ebola
A98.5,Fièvre hémorragique avec syndrome rénal
B33.4,Syndrome (cardio)pulmonaire à virus Hanta [hantavirus] [SPH] [SCPH] 
J17.1,Pneumopathie au cours de maladies virales classées ailleurs
A98.8,Autres fièvres hémorragiques virales précisées
A99,"Fièvre hémorragique virale, sans précision"
B00,Infections par le virus de l'herpès [Herpes simplex]
B00-B09,Infections virales caractérisées par des lésions cutanéomuqueuses
B08.5,Pharyngite vésiculaire due à un entérovirus
B27.0,Mononucléose due à herpèsvirus gamma
P35.2,Infection virale congénitale herpétique [Herpes simplex]
B00.0,Exéma [Eczéma] herpétique
B00.1,Dermite vésiculaire due au virus de l'herpès
B00.2,Gingivostomatite et pharyngoamygdalite due au virus de l'herpès
B00.5,Affections oculaires dues au virus de l'herpès
H19.1,Kératite et kératoconjonctivite dues au virus de l'herpès 
B00.8,Autres formes d'infection due au virus de l'herpès
K23.80,Œsophagite herpétique
B00.9,"Infection due au virus de l''herpès, sans précision"
B01,Varicelle
B01.0,Méningite varicelleuse 
